_element_key,_element_name,_element_type,_list_child_element_keys
ACCIDENTE,ACCIDENTE,string,[]
ACCIQUAL,ACCIQUAL,string,[]
AJUDOU,AJUDOU,string,[]
COMPPAR,COMPPAR,string,[]
DATAUP,DATAUP,string,[]
DEATHDATE,DEATHDATE,string,[]
DIAG,DIAG,string,[]
DIAGQUAL,DIAGQUAL,string,[]
DIARREIA,DIARREIA,string,[]
DOENCA,DOENCA,string,[]
DOENCAQUAL,DOENCAQUAL,string,[]
DORPE,DORPE,string,[]
DURDOENCA,DURDOENCA,string,[]
FALAR,FALAR,string,[]
FEBRE,FEBRE,string,[]
GEM,GEM,string,[]
HISTMOR,HISTMOR,string,[]
HOFAL,HOFAL,integer,[]
HOPART,HOPART,integer,[]
HOVIVI,HOVIVI,integer,[]
ONDECOD1,ONDECOD1,string,[]
ONDEOUTRO,ONDEOUTRO,string,[]
OUTRODUR,OUTRODUR,string,[]
OUTRODURCOM,OUTRODURCOM,string,[]
OUTROSIMP,OUTROSIMP,string,[]
OUTROSIMPCOM,OUTROSIMPCOM,string,[]
PARANFAL,PARANFAL,string,[]
PERPESO,PERPESO,string,[]
REGID,REGID,string,[]
RELACAO,RELACAO,string,[]
RELPARFAL,RELPARFAL,string,[]
RELPRES,RELPRES,string,[]
RESGRAV,RESGRAV,string,[]
SEXOFEM,SEXOFEM,integer,[]
SEXOMACH,SEXOMACH,integer,[]
TOSSE,TOSSE,string,[]
VISITDATE,VISITDATE,string,[]
VISITID,VISITID,string,[]
ondecod2,ondecod2,string,[]
